path	type	review_status	brief_notes	removal_candidate_tags	required_kept_tags	fantasy_usage	server_api_surface	configuration	tests_docs_build_release
internal/db/read_files.sql.go	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/sessions.sql.go	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/sql/files.sql	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/sql/messages.sql	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/sql/read_files.sql	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/sql/sessions.sql	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/sql/stats.sql	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/db/stats.sql.go	file	reviewed	SQLite schema, migrations, or queries with session/todo persistence touch points.	todos	sessions-and-history	no	no	no	no
internal/diff/diff.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/env/env.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/env/env_test.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	yes
internal/event/all.go	file	reviewed	Telemetry and analytics implementation using PostHog.	posthog-analytics		no	no	no	no
internal/event/event.go	file	reviewed	Telemetry and analytics implementation using PostHog.	posthog-analytics		no	no	no	no
internal/event/event_test.go	file	reviewed	Telemetry and analytics implementation using PostHog.	posthog-analytics		no	no	no	yes
internal/event/identifier.go	file	reviewed	Telemetry and analytics implementation using PostHog.	posthog-analytics		no	no	no	no
internal/event/logger.go	file	reviewed	Telemetry and analytics implementation using PostHog.	posthog-analytics		no	no	no	no
internal/filepathext/filepath.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/filetracker/service.go	file	reviewed	Per-session file read tracking that must remain.		sessions-and-history	no	no	no	no
internal/filetracker/service_test.go	file	reviewed	Per-session file read tracking that must remain.		sessions-and-history	no	no	no	yes
internal/format/spinner.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/fsext/drive_other.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/fsext/drive_windows.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/fsext/expand.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/fsext/fileutil.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/fsext/fileutil_test.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	yes
internal/fsext/ignore_test.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	yes
internal/fsext/lookup.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/fsext/lookup_test.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	yes
internal/fsext/ls.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/fsext/ls_test.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	yes
internal/fsext/owner_others.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/fsext/owner_windows.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/fsext/paste.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/fsext/paste_test.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	yes
internal/history/file.go	file	reviewed	Session history and file snapshot support that must remain.		sessions-and-history	no	no	no	no
internal/home/home.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/home/home_test.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	yes
internal/log/http.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/log/http_test.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	yes
internal/log/log.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/lsp/client.go	file	reviewed	LSP integration or LSP-facing tool surface targeted for removal.	lsp		no	no	no	no
internal/lsp/client_test.go	file	reviewed	LSP integration or LSP-facing tool surface targeted for removal.	lsp		no	no	no	yes
internal/lsp/handlers.go	file	reviewed	LSP integration or LSP-facing tool surface targeted for removal.	lsp		no	no	no	no
internal/lsp/manager.go	file	reviewed	LSP integration or LSP-facing tool surface targeted for removal.	lsp		no	no	no	no
internal/lsp/util/edit.go	file	reviewed	LSP integration or LSP-facing tool surface targeted for removal.	lsp		no	no	no	no
internal/lsp/util/edit_test.go	file	reviewed	LSP integration or LSP-facing tool surface targeted for removal.	lsp		no	no	no	yes
internal/message/attachment.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/message/content.go	file	reviewed	General repository surface reviewed for audit coverage.			yes	no	no	no
internal/message/content_test.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	yes
internal/message/message.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/oauth/copilot/client.go	file	reviewed	OAuth/provider-auth surface that must remain.		oauth-and-byok	no	no	no	no
internal/oauth/copilot/disk.go	file	reviewed	OAuth/provider-auth surface that must remain.		oauth-and-byok	no	no	no	no
internal/oauth/copilot/http.go	file	reviewed	OAuth/provider-auth surface that must remain.		oauth-and-byok	no	no	no	no
internal/oauth/copilot/oauth.go	file	reviewed	OAuth/provider-auth surface that must remain.		oauth-and-byok	no	no	no	no
internal/oauth/copilot/urls.go	file	reviewed	OAuth/provider-auth surface that must remain.		oauth-and-byok	no	no	no	no
internal/oauth/hyper/device.go	file	reviewed	OAuth/provider-auth surface that must remain.		oauth-and-byok	no	no	no	no
internal/oauth/token.go	file	reviewed	OAuth/provider-auth surface that must remain.		oauth-and-byok	no	no	no	no
internal/permission/permission.go	file	reviewed	Permission request flow and working-directory gate logic.	permission-gate		no	no	no	no
internal/permission/permission_test.go	file	reviewed	Permission request flow and working-directory gate logic.	permission-gate		no	no	no	yes
internal/projects/projects.go	file	reviewed	Workspace/project service surface supporting kept session and API behavior.		server-api	no	no	no	no
internal/projects/projects_test.go	file	reviewed	Workspace/project service surface supporting kept session and API behavior.		server-api	no	no	no	yes
internal/proto/agent.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/proto/history.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/proto/mcp.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.	mcp	server-api	no	yes	no	no
internal/proto/message.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/proto/permission.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/proto/proto.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/proto/requests.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/proto/server.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/proto/session.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/proto/tools.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/proto/version.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/pubsub/broker.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/pubsub/events.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/server/config.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/server/events.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/server/logging.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/server/net_other.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/server/net_windows.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/server/proto.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/server/server.go	file	reviewed	HTTP or client/server surface that must remain while feature-specific endpoints shrink later.		server-api	no	yes	no	no
internal/session/session.go	file	reviewed	Session persistence and state that must remain while todo support is removed.	todos	sessions-and-history	no	no	no	no
internal/shell/background.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/shell/background_test.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	yes
internal/shell/command_block_test.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	yes
internal/shell/comparison_test.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	yes
internal/shell/coreutils.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/shell/doc.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/shell/shell.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/shell/shell_test.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	yes
internal/skills/builtin/crush-config/SKILL.md	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/skills/embed.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/skills/skills.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/skills/skills_test.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	yes
internal/stringext/string.go	file	reviewed	General repository surface reviewed for audit coverage.			no	no	no	no
internal/swagger/docs.go	file	reviewed	Generated Swagger/OpenAPI artifacts that must remain except for removed-feature endpoints.		server-api;swagger-docs	no	yes	no	no
internal/swagger/swagger.json	file	reviewed	Generated Swagger/OpenAPI artifacts that must remain except for removed-feature endpoints.		server-api;swagger-docs	no	yes	no	no
internal/swagger/swagger.yaml	file	reviewed	Generated Swagger/OpenAPI artifacts that must remain except for removed-feature endpoints.		server-api;swagger-docs	no	yes	no	no
internal/ui/AGENTS.md	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/anim/anim.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/attachments/attachments.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/chat/agent.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/chat/assistant.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/chat/bash.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/chat/diagnostics.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/chat/docker_mcp.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/chat/fetch.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/chat/file.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/chat/generic.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/chat/lsp_restart.go	file	reviewed	LSP integration or LSP-facing tool surface targeted for removal. TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	lsp;mcp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/chat/mcp.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/chat/messages.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/chat/references.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/chat/search.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/chat/todos.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/chat/tools.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/chat/user.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/common/button.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/common/capabilities.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/common/common.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/common/diff.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/common/elements.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/common/highlight.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/common/interface.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/common/markdown.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/common/scrollbar.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/completions/completions.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/completions/completions_test.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/completions/item.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/completions/keys.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/dialog/actions.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/dialog/api_key_input.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/dialog/arguments.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/dialog/commands.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/dialog/commands_item.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/dialog/common.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/dialog/dialog.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/dialog/filepicker.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/dialog/models.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/dialog/models_item.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/dialog/models_list.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/dialog/oauth.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/dialog/oauth_copilot.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/dialog/oauth_hyper.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/dialog/permissions.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/dialog/quit.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/dialog/reasoning.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/dialog/sessions.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/dialog/sessions_item.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI affordances likely to change when removable features are stripped out.	mcp;lsp;sub-agents;todos;nix-home-manager		no	no	no	no
internal/ui/diffview/Taskfile.yaml	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/diffview/chroma.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/diffview/diffview.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/diffview/diffview_test.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/split.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/diffview/style.go	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances.			no	no	no	no
internal/ui/diffview/testdata/TestDefault.after	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDefault.before	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/CustomContextLines/DarkMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/CustomContextLines/LightMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/Default/DarkMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/Default/LightMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/LargeWidth/DarkMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/LargeWidth/LightMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/MultipleHunks/DarkMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/MultipleHunks/LightMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/Narrow/DarkMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/Narrow/LightMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/NoLineNumbers/DarkMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/NoLineNumbers/LightMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/NoSyntaxHighlight/DarkMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/NoSyntaxHighlight/LightMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/SmallWidth/DarkMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Split/SmallWidth/LightMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/CustomContextLines/DarkMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/CustomContextLines/LightMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/Default/DarkMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/Default/LightMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/LargeWidth/DarkMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/LargeWidth/LightMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/MultipleHunks/DarkMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/MultipleHunks/LightMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/Narrow/DarkMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/Narrow/LightMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/NoLineNumbers/DarkMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/NoLineNumbers/LightMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/NoSyntaxHighlight/DarkMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/NoSyntaxHighlight/LightMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/SmallWidth/DarkMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffView/Unified/SmallWidth/LightMode.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewHeight/Split/HeightOf001.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewHeight/Split/HeightOf002.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewHeight/Split/HeightOf003.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewHeight/Split/HeightOf004.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewHeight/Split/HeightOf005.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewHeight/Split/HeightOf006.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewHeight/Split/HeightOf007.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewHeight/Split/HeightOf008.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewHeight/Split/HeightOf009.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
internal/ui/diffview/testdata/TestDiffViewHeight/Split/HeightOf010.golden	file	reviewed	TUI surface for chat, settings, prompts, or feature affordances. UI tests or golden fixtures.			no	no	no	yes
